task_id,status,reason,hypothesis_accepted,root_cause_review_passed,patch_bound_to_accepted_set,patch_validation_passed,artifact_rejection_count,worker_failure_count,isolated_worker_failure_count,recovery_attempted,recovery_succeeded,workspace_clean,target_test_passed,regression_passed,syntax_valid,model_calls,tool_calls,total_tokens,duration_ms,estimated_api_cost_cny,execution_path,result_path
quixbugs_get_factors,failed,NO_PROGRESS_LOOP,False,False,False,False,0,0,0,False,False,True,False,False,False,22,7,85538,128999,0.0,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_get_factors/result.json
quixbugs_hanoi,failed,N4 与 N6 两个补证任务均因 MODEL_TIMEOUT 耗尽重试预算，Hypothesis N3.hypothesis@v1 仍带有 missing_evidence，无法进入根因审查；remaining_replans 已为 0，且上一同类恢复决定被拒绝，无法在不重置预算的前提下继续安全推进。,False,False,False,False,4,2,2,True,False,True,False,False,False,44,27,194056,340352,0.0,deep,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_hanoi/result.json
quixbugs_knapsack,succeeded,VALIDATION_PASSED,True,True,True,True,0,0,0,False,False,True,True,True,True,18,9,88706,122529,0.0,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_knapsack/result.json
quixbugs_lcs_length,failed,BUDGET_VIOLATION,False,False,False,False,0,0,0,False,False,True,False,False,False,63,12,376885,311450,0.0,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_lcs_length/result.json
quixbugs_lis,failed,NO_PROGRESS_LOOP,False,False,False,False,0,0,0,False,False,True,False,False,False,19,9,61028,109862,0.0,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_lis/result.json
quixbugs_max_sublist_sum,failed,NO_PROGRESS_LOOP,True,True,False,False,6,3,3,True,False,True,False,False,False,53,35,418935,1086804,0.0,deep,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_max_sublist_sum/result.json
quixbugs_next_permutation,failed,N3.hypothesis@v1 的 missing_evidence 仍未得到回应，N4 与 N6 补证任务均已耗尽重试预算，且剩余重规划次数为 0，无法安全进入根因审查或补丁阶段。,False,False,False,False,4,2,2,True,False,True,False,False,False,34,17,151601,321430,0.0,deep,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_next_permutation/result.json
quixbugs_powerset,succeeded,VALIDATION_PASSED,True,True,True,True,1,0,0,True,True,True,True,True,True,26,15,111638,273288,0.0,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_powerset/result.json
quixbugs_quicksort,failed,SUPERVISOR_ROUTES_EXHAUSTED,False,False,False,False,0,0,0,False,False,True,False,False,False,21,6,70794,124051,0.0,standard,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_quicksort/result.json
quixbugs_sieve,failed,SUPERVISOR_ROUTES_EXHAUSTED,False,False,False,False,0,0,0,False,False,True,False,False,False,0,0,0,45,0.0,fast,/home/user50305/yjh/repo-pilot-mas/reports/closed_loop/evaluation/frozen10_explore_v1/tasks/quixbugs_sieve/result.json
